dataset,setting,hf_budget,method,display_method,metric,n,mean_rmse,std_rmse,ci95_low,ci95_high
AB,hf50_lfx10,50,HF-only,HF-only,target_rmse,20,0.0231735007837414,5.55325541556829e-05,0.0231475107483713,0.0231994908191116
AB,hf100_lfx10,100,HF-only,HF-only,target_rmse,20,0.0168943816795945,5.8881595582329176e-05,0.0168668242445889,0.0169219391146
AB,hf200_lfx10,200,HF-only,HF-only,target_rmse,20,0.0160408368334174,5.0971712970995865e-05,0.016016981337427,0.0160646923294077
AB,hf300_lfx10,300,HF-only,HF-only,target_rmse,20,0.0129231117200106,7.955558184681497e-05,0.0128858785615952,0.012960344878426
AB,hf400_lfx10,400,HF-only,HF-only,target_rmse,20,0.0127625410910695,5.9442052593834775e-05,0.0127347213541084,0.0127903608280306
AB,hf500_lfx10,500,HF-only,HF-only,target_rmse,20,0.0118167180567979,5.7296380744733046e-05,0.0117899025251737,0.0118435335884222
AB,hf50_lfx10,50,AR1/co-kriging,AR1 / co-kriging,target_rmse,20,0.0184154179878532,5.472126262643656e-05,0.0183898076486066,0.0184410283270999
AB,hf100_lfx10,100,AR1/co-kriging,AR1 / co-kriging,target_rmse,20,0.0160691824741661,7.378370353890812e-05,0.0160346506379509,0.0161037143103813
AB,hf200_lfx10,200,AR1/co-kriging,AR1 / co-kriging,target_rmse,20,0.0134227189235389,5.920994474864834e-05,0.0133950078163932,0.0134504300306846
AB,hf300_lfx10,300,AR1/co-kriging,AR1 / co-kriging,target_rmse,20,0.0123351161833852,8.185786929721829e-05,0.0122968055212753,0.0123734268454951
AB,hf400_lfx10,400,AR1/co-kriging,AR1 / co-kriging,target_rmse,20,0.0119431156665086,9.16378588766432e-05,0.0119002278283809,0.0119860035046364
AB,hf500_lfx10,500,AR1/co-kriging,AR1 / co-kriging,target_rmse,20,0.0106544613372534,7.376869613992315e-05,0.0106199365247171,0.0106889861497897
AB,hf50_lfx10,50,Neural-GP MF (ours),Neural-GP MF,target_rmse,20,0.018670923821628,0.0009842886222672,0.0182102625663318,0.0191315850769243
AB,hf100_lfx10,100,Neural-GP MF (ours),Neural-GP MF,target_rmse,20,0.0131840687710791,0.0005045158665432,0.0129479480772695,0.0134201894648888
AB,hf200_lfx10,200,Neural-GP MF (ours),Neural-GP MF,target_rmse,20,0.0097999440040439,0.000695024610808,0.0094746624733693,0.0101252255347184
AB,hf300_lfx10,300,Neural-GP MF (ours),Neural-GP MF,target_rmse,20,0.009382530208677,0.0006351261449837,0.0090852820229307,0.0096797783944233
AB,hf400_lfx10,400,Neural-GP MF (ours),Neural-GP MF,target_rmse,20,0.0091529943514615,0.0005526303961858,0.008894355364621,0.009411633338302
AB,hf500_lfx10,500,Neural-GP MF (ours),Neural-GP MF,target_rmse,20,0.0079028773820027,0.0005980455491695,0.007622983449296,0.0081827713147094
AB,hf50_lfx10,50,FPCA-NARGP,FPCA-NARGP,rmse,20,0.0197875290177762,5.91327563610453e-05,0.0197598540359079,0.0198152039996445
AB,hf100_lfx10,100,FPCA-NARGP,FPCA-NARGP,rmse,20,0.0159178958274424,0.0001405952483335,0.0158520952257481,0.0159836964291366
AB,hf200_lfx10,200,FPCA-NARGP,FPCA-NARGP,rmse,20,0.0142877514939755,0.0001552090995347,0.0142151113993857,0.0143603915885652
AB,hf300_lfx10,300,FPCA-NARGP,FPCA-NARGP,rmse,20,0.011617921385914,8.884441458241547e-05,0.0115763409199595,0.0116595018518686
AB,hf400_lfx10,400,FPCA-NARGP,FPCA-NARGP,rmse,20,0.011580377491191,0.0001591088873854,0.0115059122397051,0.0116548427426768
AB,hf500_lfx10,500,FPCA-NARGP,FPCA-NARGP,rmse,20,0.0107446130365133,0.0001356200486676,0.0106811408999375,0.0108080851730891
AB,hf50_lfx10,50,MF-DeepONet,MF-DeepONet,rmse,20,0.0233443194555517,0.0022063788203641,0.0223117023816015,0.0243769365295019
AB,hf100_lfx10,100,MF-DeepONet,MF-DeepONet,rmse,20,0.018629984640844,0.0012130312333378,0.0180622685482046,0.0191977007334835
AB,hf200_lfx10,200,MF-DeepONet,MF-DeepONet,rmse,20,0.0127142364313293,0.0007738901225422,0.0123520447049935,0.0130764281576651
AB,hf300_lfx10,300,MF-DeepONet,MF-DeepONet,rmse,20,0.0111743784128634,0.0009434545463328,0.0107328280933773,0.0116159287323496
AB,hf400_lfx10,400,MF-DeepONet,MF-DeepONet,rmse,20,0.0094782427532275,0.0007394739516942,0.0091321582906623,0.0098243272157926
AB,hf500_lfx10,500,MF-DeepONet,MF-DeepONet,rmse,20,0.0087977783156125,0.0006322343212777,0.0085018835450213,0.0090936730862036
