dataset,setting,hf_budget,method,display_method,metric,n,mean_rmse,std_rmse,ci95_low,ci95_high
TM,hf50_lfx10,50,HF-only,HF-only,target_rmse,20,0.0683791793882846,4.695857601977535e-05,0.0683572020982024,0.0684011566783669
TM,hf100_lfx10,100,HF-only,HF-only,target_rmse,20,0.0439238600432872,0.000166125572871,0.0438461108819088,0.0440016092046656
TM,hf200_lfx10,200,HF-only,HF-only,target_rmse,20,0.0340062351897358,0.0001706517403608,0.0339263677167663,0.0340861026627053
TM,hf300_lfx10,300,HF-only,HF-only,target_rmse,20,0.0299368027597665,0.0001441930616155,0.0298693183296246,0.0300042871899084
TM,hf400_lfx10,400,HF-only,HF-only,target_rmse,20,0.0268618137575685,0.0001464547496511,0.0267932708248432,0.0269303566902939
TM,hf500_lfx10,500,HF-only,HF-only,target_rmse,20,0.0249842056073248,0.0001732323938187,0.024903130351359,0.0250652808632906
TM,hf50_lfx10,50,AR1/co-kriging,AR1 / co-kriging,target_rmse,20,0.038042065501213,7.542214250571824e-05,0.0380067668519573,0.0380773641504688
TM,hf100_lfx10,100,AR1/co-kriging,AR1 / co-kriging,target_rmse,20,0.0274749848060309,0.0001112311005674,0.0274229270485234,0.0275270425635385
TM,hf200_lfx10,200,AR1/co-kriging,AR1 / co-kriging,target_rmse,20,0.0243175089359283,0.0001477275564326,0.0242483703112926,0.024386647560564
TM,hf300_lfx10,300,AR1/co-kriging,AR1 / co-kriging,target_rmse,20,0.0216311928816139,0.0001612264594469,0.0215557365758967,0.0217066491873312
TM,hf400_lfx10,400,AR1/co-kriging,AR1 / co-kriging,target_rmse,20,0.0207916090264916,0.000152409896358,0.020720278999315,0.0208629390536681
TM,hf500_lfx10,500,AR1/co-kriging,AR1 / co-kriging,target_rmse,20,0.0196551207453012,0.00017731427784,0.0195721351088081,0.0197381063817943
TM,hf50_lfx10,50,Neural-GP MF (ours),Neural-GP MF,target_rmse,20,0.0281112948432564,0.0007941790464744,0.0277396076082296,0.0284829820782833
TM,hf100_lfx10,100,Neural-GP MF (ours),Neural-GP MF,target_rmse,20,0.0193837606348097,0.0013610619615121,0.0187467640287919,0.0200207572408275
TM,hf200_lfx10,200,Neural-GP MF (ours),Neural-GP MF,target_rmse,20,0.0156070638913661,0.0009810378025157,0.0151479240665462,0.016066203716186
TM,hf300_lfx10,300,Neural-GP MF (ours),Neural-GP MF,target_rmse,20,0.0137201564386487,0.0009517394938282,0.0132747286443782,0.0141655842329191
TM,hf400_lfx10,400,Neural-GP MF (ours),Neural-GP MF,target_rmse,20,0.0129109275061637,0.0005808435296576,0.0126390843664081,0.0131827706459193
TM,hf500_lfx10,500,Neural-GP MF (ours),Neural-GP MF,target_rmse,20,0.0132248481735587,0.0007761263967575,0.0128616098386734,0.0135880865084439
TM,hf50_lfx10,50,FPCA-NARGP,FPCA-NARGP,rmse,20,0.0439818194136023,9.277801001696942e-05,0.0439383979683154,0.0440252408588892
TM,hf100_lfx10,100,FPCA-NARGP,FPCA-NARGP,rmse,20,0.0289273070171475,0.0001894588466038,0.0288386375475132,0.0290159764867818
TM,hf200_lfx10,200,FPCA-NARGP,FPCA-NARGP,rmse,20,0.0277713811025023,0.0003306930822619,0.0276166119759003,0.0279261502291043
TM,hf300_lfx10,300,FPCA-NARGP,FPCA-NARGP,rmse,20,0.0271935129538178,0.0001822056684031,0.0271082380760737,0.0272787878315619
TM,hf400_lfx10,400,FPCA-NARGP,FPCA-NARGP,rmse,20,0.0254164969548583,0.0002319673297279,0.0253079329027268,0.0255250610069897
TM,hf500_lfx10,500,FPCA-NARGP,FPCA-NARGP,rmse,20,0.0234069024212658,0.0002371094574861,0.0232959317792639,0.0235178730632677
TM,hf50_lfx10,50,MF-DeepONet,MF-DeepONet,rmse,20,0.0380876013039688,0.0027612540593449,0.0367952946244099,0.0393799079835277
TM,hf100_lfx10,100,MF-DeepONet,MF-DeepONet,rmse,20,0.0285557739201139,0.0018363847670228,0.0276963193934171,0.0294152284468106
TM,hf200_lfx10,200,MF-DeepONet,MF-DeepONet,rmse,20,0.0231523706707112,0.0012298331289762,0.0225767910488578,0.0237279502925645
TM,hf300_lfx10,300,MF-DeepONet,MF-DeepONet,rmse,20,0.0210178200640601,0.0013788186798756,0.0203725130580375,0.0216631270700828
TM,hf400_lfx10,400,MF-DeepONet,MF-DeepONet,rmse,20,0.0192334546122636,0.0011608512967877,0.0186901594816557,0.0197767497428716
TM,hf500_lfx10,500,MF-DeepONet,MF-DeepONet,rmse,20,0.0180977177212049,0.0013428975442443,0.0174692223241526,0.0187262131182572
