dim,n,recon_rmse_hfval_mean,recon_rmse_hfval_std,y_rmse_test_mean,y_rmse_test_std,nll_test_raw_mean,nll_test_raw_std,coverage_test_raw_mean,coverage_test_raw_std,width_test_raw_mean,width_test_raw_std
2,10,0.029652709141373634,0.0,0.039371299743652347,0.0003635380137913811,-0.15722732355926544,0.18137764190593333,0.6143799960613251,0.021550803063645922,0.06618360728025437,0.002103565517891146
4,10,0.008090157993137836,0.0,0.021547742001712323,0.0012647440228703074,-2.382107714830796,0.07548428257304877,0.9377099931240082,0.010564128196821338,0.07642456516623497,0.001640726060328539
6,10,0.002672999631613493,0.0,0.020252282358706,0.0018545059579601903,-2.4722147240927037,0.09888644645101573,0.961300003528595,0.013384572433908174,0.08055756837129593,0.0019733675917162027
8,10,0.0013042999198660254,0.0,0.0195041811093688,0.0015694784427368893,-2.5008838712554047,0.07927108763206946,0.9641599953174591,0.011716006880278192,0.08123856857419014,0.0018642378738508466
10,10,0.0001554180053062737,0.0,0.019198628701269628,0.001418261252188796,-2.517424124883512,0.06881777814152047,0.9655400037765502,0.011874176051408515,0.08226825147867203,0.0019968593026948728
12,10,2.0164014131296426e-05,0.0,0.01924936529248953,0.0014283632449178765,-2.518006281576148,0.06943716549409994,0.9619700014591217,0.011262622508082758,0.08287287950515747,0.0024971538099324495
16,10,1.1790674761869013e-05,0.0,0.01924594137817621,0.0014349547457975342,-2.519889489986258,0.06331960439422425,0.9630999982357025,0.00994909760630299,0.08498649969696999,0.002875288935943602
24,10,1.1575433745747432e-05,0.0,0.01950230896472931,0.0013212456821652036,-2.494742115924264,0.05547946322898483,0.967849999666214,0.007535890392344132,0.0898716926574707,0.0026629095734988294
32,10,1.1301155609544367e-05,0.0,0.01985200997442007,0.0015860964979180364,-2.4659929172750177,0.05712572734194513,0.9717900037765503,0.007735986007710019,0.09431803971529007,0.002233519280681916
64,10,1.0536438821873162e-05,0.0,0.02123199086636305,0.001765667056196019,-2.374828893633985,0.05486044048375217,0.9751400053501129,0.00517261866164874,0.10898724421858788,0.0027967703775428404
