hf,lf_mult,n,ours_vs_hf_mean,ours_vs_hf_std,ours_vs_hf_q25,ours_vs_hf_q75,ours_vs_ar1_mean,ours_vs_ar1_std,ours_vs_ar1_q25,ours_vs_ar1_q75
50,5,20,24.17088604005599,3.6242455200775914,21.783275406652404,26.81201208700217,1.1572594666747253,4.597949011752313,-1.7136019671256217,4.645486596649541
50,10,20,19.95641096800876,4.289992246759491,16.692950979104793,22.37721250720412,-0.5911513346997619,5.368702743360716,-4.75194574293062,2.2819437012636006
50,15,20,27.340901482570096,2.530192258023521,25.154033168537698,29.01026421649493,1.9652936966550976,3.3469047176507494,-0.611456707863357,4.410289646737463
100,5,20,6.824459115709144,5.215136898612754,2.02087649631318,9.233384833904141,8.837427795863587,5.115368937200649,4.359347842820001,11.0641528554881
100,10,20,21.943278099549943,3.145499650356317,20.827893349143437,24.02776156657581,18.068222682857026,3.193317373448083,16.860409211060784,20.809387163201183
100,15,20,25.997205469720438,2.5053208276502033,24.570301230775424,27.94706816331861,18.5377471684716,2.8891968826569308,16.980427099411067,20.397628565032225
200,5,20,32.64832900062078,2.778360190355355,31.68203449558643,34.23285555654598,25.19379831218898,3.2194016991337353,24.117389309510358,27.277714229241496
200,10,20,38.9914049748916,4.593804777618266,36.83715607603028,41.155707907188784,27.028676012738536,5.448416953361171,23.91450181399113,30.143042019794443
200,15,20,40.109503256760874,3.043303785134957,37.96844957039484,42.93339716554243,27.6531936948078,3.6214739697463685,25.54390241276694,30.840325979724525
300,5,20,20.30899826583657,3.3875392837276705,19.200082458206488,22.467726576670152,18.585908803162244,3.4212028470363935,18.393083500146087,20.663700545999852
300,10,20,28.304287077922872,4.263652000821149,24.657563646626894,31.198243407561034,24.922888695607337,4.565823586208567,20.74955160800843,28.101405127560156
300,15,20,25.299248954050235,4.975715435150849,22.15976435830803,28.514074279237164,21.46079438189963,5.169553783895269,17.69638990169748,24.423734759418377
400,5,20,22.526451095233885,7.3495123338384225,16.876614808317637,27.72124609345292,17.208847983710324,7.778649034633434,11.993036821572927,22.878798349555844
400,10,20,27.9903348232397,3.482124514169854,25.17646294681952,30.181530814065326,22.981480543856375,3.4925099715218932,20.197607468399127,24.91757749134613
400,15,20,27.947554680110954,5.597688075622763,23.58811193865855,32.26605984113356,22.33228587708698,6.324247422055129,18.0704353169983,26.899572194382426
500,5,20,30.348706906061665,4.97968781002667,26.618560017476348,34.57204068988777,24.699743629855735,5.571419943676197,19.717904920616718,29.932005337245947
500,10,20,33.65689404052194,4.7274755726945985,30.41975945709106,36.863581346117556,26.179865829246047,5.13729691394603,22.478084376357977,29.850835637832454
500,15,20,34.99770636099089,5.065229069299047,32.91142878942505,37.73424759556917,28.282725158027727,5.620630465104044,26.48633274521932,31.572367174510827
