hf,lf_mult,n,ours_vs_hf_mean,ours_vs_hf_std,ours_vs_hf_q25,ours_vs_hf_q75,ours_vs_ar1_mean,ours_vs_ar1_std,ours_vs_ar1_q25,ours_vs_ar1_q75
50,5,20,52.654704775130064,2.0730267246490803,50.99902281710496,54.111535110292664,24.414012254230116,3.3289145839236824,21.736825540774703,26.810836654094498
50,10,20,58.88870189628125,1.1758594769881303,58.431181950211055,59.431668847980426,26.10349581431215,2.124846985296214,25.223344972187654,27.06387877075675
50,15,20,61.6966895852456,1.3481610687282284,60.946721401709254,62.604074921458874,28.64349672817629,2.518576457240086,27.122608893407143,30.088090351249612
100,5,20,53.27967853658538,1.7760513980732031,52.241710330474504,54.49701754255095,31.273474014011857,2.5233903113572222,29.64228101866332,33.28146367474347
100,10,20,55.86997284186816,3.0858013682846672,54.80402828840474,58.117533765158925,29.44605046749182,5.030921173137297,27.748000114069974,32.70415070591934
100,15,20,59.890437189953886,2.355385936714115,58.549588703480474,60.76909704194259,33.96685397624933,3.924569458690461,32.062044415388776,35.88541986450989
200,5,20,52.771857159552766,2.6161984800919047,50.842472815339875,54.34256032686401,38.00706080263946,3.4937370680961695,35.61839402697203,40.015503845846915
200,10,20,54.10231058643641,2.923508452101999,51.27766528518593,56.77209629322216,35.839605599701336,4.040968651100323,32.44991981415069,39.757043422543205
200,15,20,58.34646038539047,2.3156473209722597,57.02559809957603,59.62743539346461,39.00875558131774,3.5925809926615417,37.462005341982874,40.57723392729374
300,5,20,50.38705538774203,2.368907872786807,49.41321581364034,51.98987657070515,35.02060760329075,3.048527365669232,33.713724334686624,36.93849490017955
300,10,20,54.173868790911534,3.0992267497418022,52.612330921812806,56.00248998242287,36.54832892629774,4.480549928159302,34.602246754508265,39.39375285108953
300,15,20,55.58958281731498,2.3329885840645637,54.09835907756961,57.4451474516126,35.81737125020307,3.606842936463098,34.002011314883745,38.068300377351136
400,5,20,47.69512833457489,2.626417747382037,46.395223994587425,49.89329690389638,34.78117972620264,3.251898802827056,33.173865428377354,36.68516653051177
400,10,20,51.93446562797952,2.183852130056072,50.89973538831686,53.42350750855447,37.919408093104,2.8840958276348454,35.901002255654355,39.717266851351276
400,15,20,49.84073544859763,3.2213025326372544,47.610689823281135,51.75290615519555,32.906827410495254,4.251512214748589,30.42068543103667,35.41192659187439
500,5,20,45.900780723839404,2.073170656989336,44.52067058195827,46.98820783036182,35.31902311489061,2.578581996442561,33.951025696455815,37.113203102391026
500,10,20,47.063959925264484,3.1518130358885883,45.18498445628847,49.145007918438125,32.68200589044086,3.993104278860569,30.393586081914343,34.92262772147714
500,15,20,46.133527603594516,2.2989873594911954,45.211903230925245,47.25941508312729,31.50909377982894,2.893695153653101,30.54446297588132,32.92850865526082
