seed,pathway_key,y_rmse_test
42,A0,0.0206829868257045
42,A2,0.0257208608090877
42,A3,0.0221070311963558
42,A1,0.0992887538189276
33,A0,0.0200435575097799
33,A2,0.0247776173055171
33,A3,0.0206556003540754
33,A1,0.0979736429661306
55,A0,0.017920084297657
55,A2,0.0227337013930082
55,A3,0.0190856382250785
55,A1,0.0969062399993488
66,A0,0.0182676240801811
66,A2,0.0225447509437799
66,A3,0.019188355654478
66,A1,0.0968771455451717
77,A0,0.0228722635656595
77,A2,0.0237700343132019
77,A3,0.023859329521656
77,A1,0.0985972891880367
8,A0,0.0196230039000511
8,A2,0.024502171203494
8,A3,0.0210754442960023
8,A1,0.0999474750822292
9,A0,0.0204753521829843
9,A2,0.0250768102705478
9,A3,0.022491792216897
9,A1,0.0993670862373697
11,A0,0.0184521619230508
11,A2,0.0261308681219816
11,A3,0.0187854804098606
11,A1,0.101646875143322
22,A0,0.0187025070190429
22,A2,0.0237439572811126
22,A3,0.0212838314473629
22,A1,0.0983546405676864
88,A0,0.0215274039655923
88,A2,0.0250180326402187
88,A3,0.0224112346768379
88,A1,0.0993844033343838
99,A0,0.0202920604497194
99,A2,0.026665898039937
99,A3,0.0217931345105171
99,A1,0.0995216222439449
111,A0,0.0194136667996644
111,A2,0.0242807436734437
111,A3,0.0229634288698434
111,A1,0.0987662054107108
222,A0,0.0192256495356559
222,A2,0.0272996146231889
222,A3,0.0210189633071422
222,A1,0.0985700215960098
333,A0,0.018982209265232
333,A2,0.0226462949067354
333,A3,0.0209626201540231
333,A1,0.0972396012492457
555,A0,0.0233388748019933
555,A2,0.0252153929322958
555,A3,0.0244539137929677
555,A1,0.0987067684300343
