dataset,setting,method,split,metric,n,mean,std,median,min,max,ci95_low,ci95_high
AB,hf100_lfx10,AR1/co-kriging,test,nll_cal,20,-2.795111701571169,0.0024828170274572626,-2.7955952563524553,-2.7999927804268547,-2.789725728759491,-2.796273695708524,-2.793949707433814
AB,hf100_lfx10,AR1/co-kriging,test,nll_raw,20,-2.795111701571169,0.0024828170274572626,-2.7955952563524553,-2.7999927804268547,-2.789725728759491,-2.796273695708524,-2.793949707433814
AB,hf100_lfx10,AR1/co-kriging,test,nlpd_cal,20,-2.795111701571169,0.0024828170274572626,-2.7955952563524553,-2.7999927804268547,-2.789725728759491,-2.796273695708524,-2.793949707433814
AB,hf100_lfx10,AR1/co-kriging,test,nlpd_raw,20,-2.795111701571169,0.0024828170274572626,-2.7955952563524553,-2.7999927804268547,-2.789725728759491,-2.796273695708524,-2.793949707433814
AB,hf100_lfx10,AR1/co-kriging,test,r2,20,0.9818638253366629,0.0001666066215753005,0.9818923908445721,0.9815271037822529,0.9822080155439903,0.9817858510375608,0.9819417996357651
AB,hf100_lfx10,AR1/co-kriging,test,target_rmse,20,0.016069182474166156,7.378370353890812e-05,0.016056682914495468,0.01591612957417965,0.016217833384871483,0.01603465063795093,0.016103714310381382
AB,hf100_lfx10,AR1/co-kriging,test,y_rmse,20,0.016069182474166156,7.378370353890812e-05,0.016056682914495468,0.01591612957417965,0.016217833384871483,0.01603465063795093,0.016103714310381382
AB,hf100_lfx10,AR1/co-kriging,val,nll_cal,20,-2.726600025777173,0.003788793186077253,-2.7271787510052805,-2.732875496449686,-2.7205415146821093,-2.728373235571203,-2.7248268159831435
AB,hf100_lfx10,AR1/co-kriging,val,nll_raw,20,-2.726600025777173,0.003788793186077253,-2.7271787510052805,-2.732875496449686,-2.7205415146821093,-2.728373235571203,-2.7248268159831435
AB,hf100_lfx10,AR1/co-kriging,val,nlpd_cal,20,-2.726600025777173,0.003788793186077253,-2.7271787510052805,-2.732875496449686,-2.7205415146821093,-2.728373235571203,-2.7248268159831435
