dataset,setting,method,seed,split,metric,value,source
AB,hf100_lfx10,HF-only,388,test,target_rmse,0.01699608378112316,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,AR1/co-kriging,388,test,target_rmse,0.0161749254912138,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,Neural-GP MF (ours),388,test,target_rmse,0.01339845359325409,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,HF-only,388,test,y_rmse,0.01699608378112316,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,AR1/co-kriging,388,test,y_rmse,0.0161749254912138,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,Neural-GP MF (ours),388,test,y_rmse,0.01339845359325409,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,HF-only,388,val,r2,0.9680202832946551,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,AR1/co-kriging,388,val,r2,0.9814362476563293,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,Neural-GP MF (ours),388,val,r2,0.9883383770357006,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,HF-only,388,test,r2,0.9797116306733966,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,AR1/co-kriging,388,test,r2,0.9816247189309599,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,Neural-GP MF (ours),388,test,r2,0.9873916358844804,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,HF-only,388,val,nll_raw,-2.630677773643828,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,AR1/co-kriging,388,val,nll_raw,-2.728135980689475,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,Neural-GP MF (ours),388,val,nll_raw,-3.087163457757273,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,HF-only,388,val,nll_cal,-2.630677773643828,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,AR1/co-kriging,388,val,nll_cal,-2.728135980689475,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,Neural-GP MF (ours),388,val,nll_cal,-3.087163457757273,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,HF-only,388,test,nll_raw,-2.789201713977573,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,AR1/co-kriging,388,test,nll_raw,-2.792677190327857,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,Neural-GP MF (ours),388,test,nll_raw,-3.1650753252027433,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,HF-only,388,test,nll_cal,-2.789201713977573,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,AR1/co-kriging,388,test,nll_cal,-2.792677190327857,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,Neural-GP MF (ours),388,test,nll_cal,-3.1650753252027433,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,HF-only,388,val,nlpd_raw,-2.630677773643828,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,AR1/co-kriging,388,val,nlpd_raw,-2.728135980689475,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,Neural-GP MF (ours),388,val,nlpd_raw,-3.087163457757273,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,HF-only,388,val,nlpd_cal,-2.630677773643828,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,AR1/co-kriging,388,val,nlpd_cal,-2.728135980689475,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
