dataset,setting,seed,comparator,ours_rmse,comparator_rmse,paired_difference,relative_difference_pct
AB,hf100_lfx10,388,HF-only,0.01339845359325409,0.01699608378112316,0.003597630187869072,26.851085185535307
AB,hf100_lfx10,388,AR1/co-kriging,0.01339845359325409,0.0161749254912138,0.002776471897959709,20.722330966296134
AB,hf100_lfx10,388,FPCA-NARGP,0.01339845359325409,0.015967801213264465,0.002569347620010376,19.176448999338266
AB,hf100_lfx10,388,MF-DeepONet,0.01339845359325409,0.018504147953734583,0.005105694360480494,38.106594353927015
AB,hf100_lfx10,210,HF-only,0.012709742411971092,0.016857782378792763,0.0041480399668216705,32.636695791054755
AB,hf100_lfx10,210,AR1/co-kriging,0.012709742411971092,0.016039080917835236,0.0033293385058641434,26.195169012460045
AB,hf100_lfx10,210,FPCA-NARGP,0.012709742411971092,0.016211016103625298,0.0035012736916542053,27.547951627693216
AB,hf100_lfx10,210,MF-DeepONet,0.012709742411971092,0.021997117881182093,0.009287375469211,73.07288510004246
AB,hf100_lfx10,344,HF-only,0.013440476730465889,0.016885679215192795,0.003445202484726906,25.6330378290643
AB,hf100_lfx10,344,AR1/co-kriging,0.013440476730465889,0.016050957143306732,0.002610480412840843,19.422528420614704
AB,hf100_lfx10,344,FPCA-NARGP,0.013440476730465889,0.01591169834136963,0.00247122161090374,18.386413372541732
AB,hf100_lfx10,344,MF-DeepONet,0.013440476730465889,0.0189598000403481,0.00551932330988221,41.06493705964619
AB,hf100_lfx10,333,HF-only,0.014412667602300644,0.016804559156298637,0.0023918915539979935,16.59575881439314
AB,hf100_lfx10,333,AR1/co-kriging,0.014412667602300644,0.01591612957417965,0.0015034619718790054,10.431531576007574
AB,hf100_lfx10,333,FPCA-NARGP,0.014412667602300644,0.015939535573124886,0.0015268679708242416,10.593930374003165
AB,hf100_lfx10,333,MF-DeepONet,0.014412667602300644,0.01851233410515858,0.004099666502857938,28.444883459350176
AB,hf100_lfx10,311,HF-only,0.01329404953867197,0.016830146312713623,0.0035360967740416527,26.599094307233162
AB,hf100_lfx10,311,AR1/co-kriging,0.01329404953867197,0.01611543633043766,0.00282138679176569,21.22292972926244
AB,hf100_lfx10,311,FPCA-NARGP,0.01329404953867197,0.015629492700099945,0.0023354431614279747,17.56758280939336
AB,hf100_lfx10,311,MF-DeepONet,0.01329404953867197,0.01750405093500981,0.004210001396337839,31.66831433936723
AB,hf100_lfx10,355,HF-only,0.01329442672431469,0.01693454571068287,0.0036401189863681793,27.38078942291378
AB,hf100_lfx10,355,AR1/co-kriging,0.01329442672431469,0.016011465340852737,0.002717038616538048,20.437425944578347
AB,hf100_lfx10,355,FPCA-NARGP,0.01329442672431469,0.01607823371887207,0.0027838069945573807,20.939654279834187
AB,hf100_lfx10,355,MF-DeepONet,0.01329442672431469,0.018963100777431033,0.005668674053116343,42.63947720851089
AB,hf100_lfx10,240,HF-only,0.012627298012375832,0.016802063211798668,0.004174765199422836,33.06142925692583
AB,hf100_lfx10,240,AR1/co-kriging,0.012627298012375832,0.016148516908288002,0.0035212188959121704,27.88576695078452
AB,hf100_lfx10,240,FPCA-NARGP,0.012627298012375832,0.015952441841363907,0.0033251438289880753,26.33297975330233
AB,hf100_lfx10,240,MF-DeepONet,0.012627298012375832,0.017556310414978876,0.004929012402603045,39.03457729256244
AB,hf100_lfx10,220,HF-only,0.012894634157419205,0.016937891021370888,0.004043256863951683,31.35611925542927
AB,hf100_lfx10,220,AR1/co-kriging,0.012894634157419205,0.016020789742469788,0.003126155585050583,24.24384861862779
AB,hf100_lfx10,220,FPCA-NARGP,0.012894634157419205,0.015867961570620537,0.002973327413201332,23.058641113059917
AB,hf100_lfx10,220,MF-DeepONet,0.012894634157419205,0.01717918240519696,0.004284548247777756,33.227373459932934
AB,hf100_lfx10,322,HF-only,0.014180219732224941,0.01693984866142273,0.0027596289291977882,19.46111542211476
AB,hf100_lfx10,322,AR1/co-kriging,0.014180219732224941,0.016016535460948944,0.0018363157287240028,12.949839730275297
AB,hf100_lfx10,322,FPCA-NARGP,0.014180219732224941,0.01614518277347088,0.0019649630412459373,13.85707047106262
AB,hf100_lfx10,322,MF-DeepONet,0.014180219732224941,0.019084171895676873,0.004903952163451932,34.58304776693668
AB,hf100_lfx10,399,HF-only,0.012932026758790016,0.016928741708397865,0.003996714949607849,30.905557374378656
AB,hf100_lfx10,399,AR1/co-kriging,0.012932026758790016,0.016217833384871483,0.0032858066260814667,25.408288177629032
AB,hf100_lfx10,399,FPCA-NARGP,0.012932026758790016,0.01584596186876297,0.002913935109972954,22.532702447374117
AB,hf100_lfx10,399,MF-DeepONet,0.012932026758790016,0.018367465091114466,0.00543543833232445,42.03083115823228
AB,hf100_lfx10,200,HF-only,0.012832754291594028,0.01682872697710991,0.003995972685515881,31.138854486861046
AB,hf100_lfx10,200,AR1/co-kriging,0.012832754291594028,0.01606304943561554,0.003230295144021511,25.172266768463608
AB,hf100_lfx10,200,FPCA-NARGP,0.012832754291594028,0.015775933861732483,0.0029431795701384544,22.934901606168488
AB,hf100_lfx10,200,MF-DeepONet,0.012832754291594028,0.019105866719057344,0.006273112427463316,48.88360117338534
AB,hf100_lfx10,366,HF-only,0.012896406464278698,0.016930939629673958,0.00403453316539526,31.284165682668046
AB,hf100_lfx10,366,AR1/co-kriging,0.012896406464278698,0.016030922532081604,0.003134516067802906,24.305344876381586
AB,hf100_lfx10,366,FPCA-NARGP,0.012896406464278698,0.015917453914880753,0.0030210474506020546,23.425498094914637
AB,hf100_lfx10,366,MF-DeepONet,0.012896406464278698,0.019357784299255894,0.006461377834977196,50.10215716195312
AB,hf100_lfx10,250,HF-only,0.012837727554142475,0.01691550761461258,0.004077780060470104,31.764033340575818
AB,hf100_lfx10,250,AR1/co-kriging,0.012837727554142475,0.01612217351794243,0.0032844459637999535,25.584325184873776
AB,hf100_lfx10,250,FPCA-NARGP,0.012837727554142475,0.015900759026408195,0.0030630314722657204,23.859608013548645
AB,hf100_lfx10,250,MF-DeepONet,0.012837727554142475,0.020736207706841415,0.00789848015269894,61.525531830984065
AB,hf100_lfx10,260,HF-only,0.013287171721458435,0.01687241718173027,0.0035852454602718353,26.982758524011228
AB,hf100_lfx10,260,AR1/co-kriging,0.013287171721458435,0.016059137880802155,0.0027719661593437195,20.861972867160787
AB,hf100_lfx10,260,FPCA-NARGP,0.013287171721458435,0.01594306156039238,0.0026558898389339447,19.988375966006007
AB,hf100_lfx10,260,MF-DeepONet,0.013287171721458435,0.017958919379104824,0.004671747657646389,35.159835031721904
AB,hf100_lfx10,290,HF-only,0.013838742859661579,0.016895072534680367,0.0030563296750187874,22.085312994200173
AB,hf100_lfx10,290,AR1/co-kriging,0.013838742859661579,0.016055220738053322,0.0022164778783917427,16.01646840951524
AB,hf100_lfx10,290,FPCA-NARGP,0.013838742859661579,0.015686552971601486,0.001847810111939907,13.352441986085827
AB,hf100_lfx10,290,MF-DeepONet,0.013838742859661579,0.01917931504623355,0.0053405721865719714,38.59145473494673
AB,hf100_lfx10,377,HF-only,0.012833738699555397,0.01686885952949524,0.004035120829939842,31.44150683136187
AB,hf100_lfx10,377,AR1/co-kriging,0.012833738699555397,0.01598907820880413,0.0031553395092487335,24.58628450459292
AB,hf100_lfx10,377,FPCA-NARGP,0.012833738699555397,0.01597558706998825,0.0031418483704328537,24.48116206808619
AB,hf100_lfx10,377,MF-DeepONet,0.012833738699555397,0.01745599129219217,0.004622252592636773,36.016415020175714
AB,hf100_lfx10,300,HF-only,0.013186967000365257,0.01691688597202301,0.003729918971657753,28.284888947962337
AB,hf100_lfx10,300,AR1/co-kriging,0.013186967000365257,0.016154835000634193,0.002967868000268936,22.506069820199983
AB,hf100_lfx10,300,FPCA-NARGP,0.013186967000365257,0.015804477035999298,0.002617510035634041,19.84921957840298
AB,hf100_lfx10,300,MF-DeepONet,0.013186967000365257,0.019033239209811086,0.005846272209445828,44.333713804576114
AB,hf100_lfx10,280,HF-only,0.013463563285768032,0.016822729259729385,0.0033591659739613533,24.950051503172542
AB,hf100_lfx10,280,AR1/co-kriging,0.013463563285768032,0.016140896826982498,0.002677333541214466,19.885772320352984
AB,hf100_lfx10,280,FPCA-NARGP,0.013463563285768032,0.01585906371474266,0.0023955004289746284,17.79246978032069
AB,hf100_lfx10,280,MF-DeepONet,0.013463563285768032,0.016735355630686198,0.003271792344918166,24.301087873049845
AB,hf100_lfx10,270,HF-only,0.012682266533374786,0.01701093465089798,0.004328668117523193,34.13166018969736
AB,hf100_lfx10,270,AR1/co-kriging,0.012682266533374786,0.016058145090937614,0.003375878557562828,26.61888983864856
AB,hf100_lfx10,270,FPCA-NARGP,0.012682266533374786,0.01588076911866665,0.0031985025852918625,25.220275704462207
AB,hf100_lfx10,270,MF-DeepONet,0.012682266533374786,0.018462736584844798,0.005780470051470012,45.57915603065166
AB,hf100_lfx10,230,HF-only,0.012638041749596596,0.01690821908414364,0.004270177334547043,33.78828317831238
AB,hf100_lfx10,230,AR1/co-kriging,0.012638041749596596,0.015998519957065582,0.0033604782074689865,26.59018124842207
AB,hf100_lfx10,230,FPCA-NARGP,0.012638041749596596,0.016064932569861412,0.0034268908202648163,27.11567890155294
AB,hf100_lfx10,230,MF-DeepONet,0.012638041749596596,0.01794659544902328,0.005308553699426684,42.00455897050769
AB,hf500_lfx10,388,HF-only,0.007512210868299007,0.011884412728250027,0.004372201859951019,58.20126639950162
AB,hf500_lfx10,388,AR1/co-kriging,0.007512210868299007,0.010547761805355549,0.0030355509370565414,40.4082232284819
