dataset,setting,comparator,n_paired,mean_ours_rmse,mean_comparator_rmse,mean_paired_difference,std_paired_difference,paired_difference_ci95_low,paired_difference_ci95_high,relative_difference_pct
AB,hf100_lfx10,AR1/co-kriging,20,0.013184068771079183,0.016069182474166156,0.0028851137030869722,0.0005301268815528949,0.0026370066852897563,0.003133220720884188,21.883333234849403
AB,hf100_lfx10,FPCA-NARGP,20,0.013184068771079183,0.015917895827442408,0.002733827056363225,0.0005306446238808803,0.002485477727697699,0.0029821763850287515,20.735837349090577
AB,hf100_lfx10,HF-only,20,0.013184068771079183,0.016894381679594516,0.003710312908515334,0.000515577418368296,0.003469015249094187,0.003951610567936481,28.1423965009523
AB,hf100_lfx10,MF-DeepONet,20,0.013184068771079183,0.018629984640844095,0.005445915869764914,0.0013419247665314418,0.004817875746696525,0.006073955992833302,41.306792040642065
AB,hf200_lfx10,AR1/co-kriging,20,0.009799944004043937,0.013422718923538923,0.0036227749194949867,0.0007044426383476758,0.003293085616251824,0.003952464222738149,36.96730224172762
AB,hf200_lfx10,FPCA-NARGP,20,0.009799944004043937,0.01428775149397552,0.004487807489931583,0.0007188344902882317,0.004151382592645178,0.004824232387217988,45.79421564122911
AB,hf200_lfx10,HF-only,20,0.009799944004043937,0.016040836833417414,0.006240892829373479,0.0006786628357461105,0.00592326884514251,0.006558516813604448,63.68294376782337
AB,hf200_lfx10,MF-DeepONet,20,0.009799944004043937,0.012714236431329348,0.002914292427285412,0.0011146141560195151,0.0023926369446687105,0.0034359479099021137,29.737847747730306
AB,hf300_lfx10,AR1/co-kriging,20,0.009382530208677053,0.012335116183385253,0.0029525859747081993,0.0006573917824148601,0.0026449171498759824,0.0032602547995404163,31.46897381665364
AB,hf300_lfx10,FPCA-NARGP,20,0.009382530208677053,0.011617921385914087,0.002235391177237034,0.0006593103010777298,0.0019268244580316085,0.0025439578964424592,23.82503575815533
AB,hf300_lfx10,HF-only,20,0.009382530208677053,0.012923111720010639,0.003540581511333585,0.0006244682173447011,0.0032483213892649057,0.0038328416334022643,37.73589247876039
AB,hf300_lfx10,MF-DeepONet,20,0.009382530208677053,0.011174378412863464,0.0017918482041864101,0.0012844430409097616,0.0011907103568148448,0.0023929860515579755,19.09770780731719
AB,hf400_lfx10,AR1/co-kriging,20,0.00915299435146153,0.011943115666508675,0.002790121315047145,0.0005317451882249686,0.0025412569064133935,0.0030389857236808966,30.483153467713283
AB,hf400_lfx10,FPCA-NARGP,20,0.00915299435146153,0.01158037749119103,0.0024273831397294996,0.0005951038267958251,0.002148865975473435,0.0027059003039855644,26.520098740603956
AB,hf400_lfx10,HF-only,20,0.00915299435146153,0.01276254109106958,0.0036095467396080492,0.0005566624475829823,0.0033490206946262457,0.0038700727845898527,39.435692856422286
AB,hf400_lfx10,MF-DeepONet,20,0.00915299435146153,0.00947824275322752,0.0003252484017659899,0.0009026941492735869,-9.722546468501301e-05,0.0007477222682169928,3.5534644650365763
AB,hf500_lfx10,AR1/co-kriging,20,0.00790287738200277,0.010654461337253451,0.0027515839552506804,0.000592461484909688,0.0024743034450640145,0.0030288644654373463,34.817495226698895
AB,hf500_lfx10,FPCA-NARGP,20,0.00790287738200277,0.010744613036513329,0.0028417356545105575,0.0006014115318429177,0.002560266393421006,0.003123204915600109,35.95824048823085
AB,hf500_lfx10,HF-only,20,0.00790287738200277,0.011816718056797982,0.00391384067479521,0.000598265025466223,0.003633844024019844,0.004193837325570576,49.52424902489571
AB,hf500_lfx10,MF-DeepONet,20,0.00790287738200277,0.008797778315612518,0.0008949009336097488,0.0008374655235106896,0.0005029550037267547,0.001286846863492743,11.323735525084903
AB,hf50_lfx10,AR1/co-kriging,20,0.018670923821628094,0.01841541798785329,-0.00025550583377480506,0.0009978849960490899,-0.0007225303878760535,0.0002115187203264434,-1.368469156726096
AB,hf50_lfx10,FPCA-NARGP,20,0.018670923821628094,0.01978752901777625,0.001116605196148157,0.0009779244093328621,0.0006589224841906971,0.001574287908105617,5.980449638248211
AB,hf50_lfx10,HF-only,20,0.018670923821628094,0.023173500783741474,0.004502576962113381,0.0009871294269328888,0.004040586169307759,0.004964567754919002,24.11544819703923
AB,hf50_lfx10,MF-DeepONet,20,0.018670923821628094,0.02334431945555178,0.00467339563392369,0.0023803624291528214,0.0035593517245794785,0.005787439543267901,25.030339572753757
TM,hf100_lfx10,AR1/co-kriging,20,0.019383760634809732,0.02747498480603099,0.008091224171221257,0.001408515962396677,0.007432018409147209,0.008750429933295304,41.74228274719241
TM,hf100_lfx10,FPCA-NARGP,20,0.019383760634809732,0.02892730701714754,0.009543546382337809,0.0013056325068866474,0.008932491559624717,0.0101546012050509,49.234751512559036
TM,hf100_lfx10,HF-only,20,0.019383760634809732,0.04392386004328728,0.024540099408477546,0.0013572047460164622,0.02390490803488037,0.025175290782074724,126.60133330581868
