job_id,kind,dataset,setting,method,seed,status,repository_relative_report_paths,valid_reports,issues
original_tm_hf50_lfx05_seed_200,original_bundle,TM,hf50_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,200,COMPLETE,result_out/final_runs/original/tm/hf50_lfx05/seed_200/bl0r200/report.json,True,
original_tm_hf50_lfx05_seed_210,original_bundle,TM,hf50_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,210,COMPLETE,result_out/final_runs/original/tm/hf50_lfx05/seed_210/bl0r210/report.json,True,
original_tm_hf50_lfx05_seed_220,original_bundle,TM,hf50_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,220,COMPLETE,result_out/final_runs/original/tm/hf50_lfx05/seed_220/bl0r220/report.json,True,
original_tm_hf50_lfx05_seed_230,original_bundle,TM,hf50_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,230,COMPLETE,result_out/final_runs/original/tm/hf50_lfx05/seed_230/bl0r230/report.json,True,
original_tm_hf50_lfx05_seed_240,original_bundle,TM,hf50_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,240,COMPLETE,result_out/final_runs/original/tm/hf50_lfx05/seed_240/bl0r240/report.json,True,
original_tm_hf50_lfx05_seed_250,original_bundle,TM,hf50_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,250,COMPLETE,result_out/final_runs/original/tm/hf50_lfx05/seed_250/bl0r250/report.json,True,
original_tm_hf50_lfx05_seed_260,original_bundle,TM,hf50_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,260,COMPLETE,result_out/final_runs/original/tm/hf50_lfx05/seed_260/bl0r260/report.json,True,
original_tm_hf50_lfx05_seed_270,original_bundle,TM,hf50_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,270,COMPLETE,result_out/final_runs/original/tm/hf50_lfx05/seed_270/bl0r270/report.json,True,
original_tm_hf50_lfx05_seed_280,original_bundle,TM,hf50_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,280,COMPLETE,result_out/final_runs/original/tm/hf50_lfx05/seed_280/bl0r280/report.json,True,
original_tm_hf50_lfx05_seed_290,original_bundle,TM,hf50_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,290,SUCCEEDED,result_out/final_runs/original/tm/hf50_lfx05/seed_290/bl0r290/report.json,True,
original_tm_hf50_lfx05_seed_300,original_bundle,TM,hf50_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,300,SUCCEEDED,result_out/final_runs/original/tm/hf50_lfx05/seed_300/bl0r300/report.json,True,
