seed,hf,lf_mult,dataset_name,status,metrics.y_rmse.hf_only,metrics.y_rmse.ar1,metrics.y_rmse.ours
366,50,5,hf50_lfx05,OK,0.0684271156787872,0.0429028496146202,0.0336521379649639
366,50,5,hf50_lfx05,BAD,,,
300,50,5,hf50_lfx05,OK,0.0684233084321022,0.0429531298577785,0.0321520045399665
300,50,5,hf50_lfx05,BAD,,,
210,50,5,hf50_lfx05,OK,0.0683004036545753,0.0429169870913028,0.0308663714677095
210,50,5,hf50_lfx05,BAD,,,
220,50,5,hf50_lfx05,OK,0.0683383047580719,0.0428432263433933,0.0315791852772235
220,50,5,hf50_lfx05,BAD,,,
377,50,5,hf50_lfx05,OK,0.0684205740690231,0.0427999570965766,0.0327461324632167
377,50,5,hf50_lfx05,BAD,,,
260,50,5,hf50_lfx05,OK,0.0684353560209274,0.0428315103054046,0.0319838970899581
260,50,5,hf50_lfx05,BAD,,,
240,50,5,hf50_lfx05,OK,0.0684226751327514,0.0427906550467014,0.0303668361157178
240,50,5,hf50_lfx05,BAD,,,
355,50,5,hf50_lfx05,OK,0.0684298425912857,0.0427904315292835,0.030727406963706
355,50,5,hf50_lfx05,BAD,,,
311,50,5,hf50_lfx05,OK,0.0683575272560119,0.0427460186183452,0.0341219566762447
311,50,5,hf50_lfx05,BAD,,,
280,50,5,hf50_lfx05,OK,0.0683499053120613,0.0428335219621658,0.0322534292936325
280,50,5,hf50_lfx05,BAD,,,
399,50,5,hf50_lfx05,OK,0.0684133395552635,0.0429520532488822,0.0314101129770278
399,50,5,hf50_lfx05,BAD,,,
270,50,5,hf50_lfx05,OK,0.0684012100100517,0.0428333692252635,0.0335239991545677
270,50,5,hf50_lfx05,BAD,,,
344,50,5,hf50_lfx05,OK,0.0684192106127739,0.0428352802991867,0.0335238352417945
344,50,5,hf50_lfx05,BAD,,,
388,50,5,hf50_lfx05,OK,0.0683332607150077,0.0428266711533069,0.0342891961336135
388,50,5,hf50_lfx05,BAD,,,
250,50,5,hf50_lfx05,OK,0.068345732986927,0.0428594835102558,0.032943457365036
250,50,5,hf50_lfx05,BAD,,,
230,50,5,hf50_lfx05,OK,0.0683139488101005,0.0428333468735218,0.0303732994943857
230,50,5,hf50_lfx05,BAD,,,
322,50,5,hf50_lfx05,OK,0.0683323219418525,0.0426745042204856,0.0326005928218364
322,50,5,hf50_lfx05,BAD,,,
