TM setting,HF train,LF train,Method,Stage I (s),Stage II (s),Total training (s),Inference (s)
hf50_lfx10,40,400,HF-only,,,370.346134,0.070637
hf50_lfx10,40,400,AR1/co-kriging,,,735.002128,0.139095
hf50_lfx10,40,400,FPCA-NARGP,319.42888487607706,516.2901685790275,835.719053,68.843143
hf50_lfx10,40,400,MF-DeepONet,117.1720545690041,21.06177224504063,138.233827,0.0463
hf50_lfx10,40,400,Neural-GP MF,5.030210171942599,373.0919293940533,378.12214,0.079665
hf100_lfx10,80,800,HF-only,,,341.557943,0.0687
hf100_lfx10,80,800,AR1/co-kriging,,,684.918308,0.136778
hf100_lfx10,80,800,FPCA-NARGP,329.15506285900483,521.5304490550188,850.685512,69.685379
hf100_lfx10,80,800,MF-DeepONet,181.50184098799946,34.684650362993125,216.186491,0.059396
hf100_lfx10,80,800,Neural-GP MF,3.4375685839913785,341.12910125695635,344.56667,0.077911
hf100_lfx10,80,800,Direct-latent,5.10627890197793,350.2989334540325,355.405212,0.097271
hf100_lfx10,80,800,Frequency-wise NARGP,25966.07295891235,41912.00289717049,67878.075856,2961.006505
hf500_lfx10,400,4000,HF-only,,,343.923123,0.07782
hf500_lfx10,400,4000,AR1/co-kriging,,,692.966388,0.131833
hf500_lfx10,400,4000,FPCA-NARGP,325.6784128349973,520.9857195331133,846.664132,69.226841
hf500_lfx10,400,4000,MF-DeepONet,1096.90395841602,478.58557055704296,1575.489529,0.22121
hf500_lfx10,400,4000,Neural-GP MF,11.617485753027722,344.76391758106183,356.381403,0.078902
