dataset,setting,method,split,metric,n,mean,std,median,min,max,ci95_low,ci95_high,diagnostic
TM,hf100_lfx10,AR1/co-kriging,test,coverage_raw,20,0.9681749999523163,0.0007390359364700283,0.9681999981403351,0.9664000272750854,0.9695000052452087,0.9678291204871863,0.9685208794174462,
TM,hf100_lfx10,AR1/co-kriging,test,nll_raw,20,-2.1342329821674952,0.002897963808660023,-2.134218671001933,-2.1418230647539183,-2.128376228711975,-2.1355892709792315,-2.132876693355759,
TM,hf100_lfx10,AR1/co-kriging,test,width_raw,20,0.13318865075707437,0.00020437305992257348,0.13320357352495193,0.1326255053281784,0.13345487415790558,0.1330930012207465,0.13328430029340224,
TM,hf100_lfx10,Controlled wavelength-wise Stage II,test,coverage_raw,3,0.9987666805585226,0.0009018497955020739,0.9987000226974487,0.9979000091552734,0.9997000098228455,0.9965263614712093,1.001006999645836,n=3 representation diagnostic
TM,hf100_lfx10,Controlled wavelength-wise Stage II,test,nll_raw,3,-2.0844927685400294,0.016003450184227917,-2.0772032523463593,-2.1028432273357685,-2.073431825937962,-2.124247542660295,-2.044737994419764,n=3 representation diagnostic
TM,hf100_lfx10,Controlled wavelength-wise Stage II,test,width_raw,3,0.16043796141942343,0.0011418969738407243,0.1609477996826172,0.15912996232509613,0.16123612225055695,0.15760133208380725,0.1632745907550396,n=3 representation diagnostic
TM,hf100_lfx10,FPCA-NARGP,test,coverage_raw,20,0.9874850004911423,0.0009240978911334819,0.987500011920929,0.98580002784729,0.9890999794006348,0.9870525093651495,0.987917491617135,
TM,hf100_lfx10,FPCA-NARGP,test,nll_raw,20,-2.129704562121398,0.00450829180384053,-2.1297846120646926,-2.141841064412323,-2.1208484044113822,-2.13181450763394,-2.127594616608856,
TM,hf100_lfx10,FPCA-NARGP,test,width_raw,20,0.1363936595618725,0.000738862675963169,0.1364157721400261,0.1349610537290573,0.1380622684955597,0.13604786118515577,0.13673945793858922,
TM,hf100_lfx10,HF-only,test,coverage_raw,20,0.9216500014066696,0.0004559564513775577,0.9216499924659729,0.9208999872207642,0.9223999977111816,0.9214366072187249,0.9218633955946144,
TM,hf100_lfx10,HF-only,test,nll_raw,20,-1.7190100021040173,0.00540584820106053,-1.7187741192841193,-1.7297242881621817,-1.7095438487276318,-1.7215400169410329,-1.7164799872670018,
TM,hf100_lfx10,HF-only,test,width_raw,20,0.15390997231006623,0.0006429279266686585,0.15393154323101044,0.15262089669704437,0.1552867889404297,0.1536090727780956,0.15421087184203686,
TM,hf100_lfx10,Neural-GP MF (ours),test,coverage_raw,20,0.9603349983692169,0.013911080659820904,0.9617500007152557,0.9289000034332275,0.9815999865531921,0.9538244122115513,0.9668455845268824,
TM,hf100_lfx10,Neural-GP MF (ours),test,nll_raw,20,-2.513433719248344,0.07080471603730573,-2.530719915741071,-2.61967468683736,-2.356051681768129,-2.546571346396274,-2.480296092100414,
TM,hf100_lfx10,Neural-GP MF (ours),test,width_raw,20,0.07935019917786121,0.0018756342698817044,0.07933681085705757,0.07600253075361252,0.0823516771197319,0.07847237531838168,0.08022802303734074,
TM,hf100_lfx10,Wavelength-wise NARGP,test,coverage_raw,3,0.9708666801452637,0.00023094401696512572,0.9710000157356262,0.9706000089645386,0.9710000157356262,0.9702929834034246,0.9714403768871027,n=3 representation diagnostic
TM,hf100_lfx10,Wavelength-wise NARGP,test,nll_raw,3,-2.175992808090115,0.0005153220929913863,-2.1757523274220265,-2.176584412026628,-2.175641684821692,-2.177272939134997,-2.174712677045233,n=3 representation diagnostic
TM,hf100_lfx10,Wavelength-wise NARGP,test,width_raw,3,0.12358733266592026,5.152768483720959e-05,0.12360770255327225,0.12352873384952545,0.12362556159496307,0.12345933080081854,0.12371533453102197,n=3 representation diagnostic
